year,sentiment,raw_positiveScore,raw_neutralScore,raw_negativeScore,Sum,pos,neutral,neg
2000,neutral,0.45280252464243237,0.6601974846833562,0.5471974753575677,1.6601974846833563,0.27274015821605335,0.39766201959357467,0.329597822190372
2001,neutral,0.7291906409031321,0.9383006243152797,0.2708093590968679,1.9383006243152796,0.3762010039906604,0.4840841572997697,0.13971483870956988
2001,neutral,0.7988199607645755,0.9444191035807927,0.2011800392354245,1.9444191035807927,0.4108270481880624,0.4857075832270803,0.10346536858485728
2002,neutral,0.610473070757704,0.8756048904110235,0.38952692924229604,1.8756048904110236,0.32548063500939356,0.46683866889424763,0.20768069609635875
2003,neutral,0.6312875484677394,0.8759091763658406,0.3687124515322606,1.8759091763658406,0.33652351426241195,0.4669251514951918,0.19655133424239626
2004,neutral,0.634739478973557,0.9603144394582029,0.365260521026443,1.960314439458203,0.32379472710969165,0.48987775640912856,0.18632751648117976
2005,neutral,0.6764582961384767,0.952380738184227,0.32354170386152326,1.9523807381842269,0.34647867749791644,0.48780482185558227,0.16571650064650137
2005,neutral,0.6243217819190507,0.6745976930652504,0.37567821808094926,1.6745976930652504,0.3728189669103552,0.40284164719613336,0.22433938589351146
2006,neutral,0.7550202208084602,0.9393973551989253,0.2449797791915398,1.9393973551989252,0.3893066156785685,0.48437590815553666,0.12631747616589487
2007,neutral,0.6586439614651866,0.9432163264474309,0.34135603853481344,1.943216326447431,0.33894525920812585,0.4853892557458128,0.17566548504606136
2008,neutral,0.8556075433503905,0.8166210648989489,0.14439245664960954,1.816621064898949,0.47098845206773177,0.44952746650241787,0.07948408142985036
2009,neutral,0.6397326525563951,0.9639782272347106,0.3602673474436049,1.9639782272347106,0.325733067548891,0.49082938592043146,0.1834375465306776
2010,neutral,0.7192038969182177,0.9361109716417054,0.28079610308178227,1.9361109716417055,0.3714683235891051,0.4835006801536483,0.1450309962572466
2010,neutral,0.4297578853628208,0.8807286712878817,0.5702421146371792,1.8807286712878817,0.22850605295900125,0.4682911919903779,0.30320275505062083
2011,neutral,0.6578234571443309,0.9260415541874494,0.3421765428556691,1.9260415541874494,0.3415416742770385,0.48080040234548527,0.17765792337747624
2011,neutral,0.5213504169429286,0.8646567378970119,0.4786495830570714,1.864656737897012,0.27959592044319936,0.463708263469546,0.25669581608725456
2012,neutral,0.5936747485656809,0.9167420710239481,0.4063252514343191,1.9167420710239482,0.3097311618190403,0.4782813947075376,0.21198744347342202
2012,neutral,0.7377184843150091,0.8844158328549739,0.2622815156849909,1.884415832854974,0.3914839131856224,0.4693315654831049,0.13918452133127257
2013,neutral,0.6467004423378377,0.928445984704422,0.35329955766216226,1.928445984704422,0.3353479679841586,0.4814477522670812,0.1832042797487602
2014,neutral,0.3981301631663066,0.6557534537637174,0.6018698368336934,1.6557534537637173,0.24045256391361355,0.3960453485832173,0.36350208750316926
2014,neutral,0.818732012208838,0.8405909323302421,0.18126798779116204,1.840590932330242,0.4448201921609487,0.4566962259593604,0.09848358187969092
2015,neutral,0.597369333273598,0.9648079962144408,0.402630666726402,1.9648079962144407,0.30403445752691277,0.4910444165909944,0.20492112588209285
2015,neutral,0.7913699323492137,0.8617669334576208,0.2086300676507863,1.8617669334576208,0.4250639100564021,0.4628758401338516,0.1120602498097463
2016,neutral,0.5469750405353366,0.767567003277676,0.45302495946466337,1.767567003277676,0.3094508097973413,0.43425058391243065,0.2562986062902281
2016,neutral,0.7676219462798026,0.8313329252799826,0.23237805372019738,1.8313329252799826,0.4191602387984397,0.4539496417085848,0.12689011949297552
2017,neutral,0.712913968978276,0.8722193891140998,0.28708603102172403,1.8722193891140997,0.3807854854636528,0.4658745626637369,0.15333995187261037
2017,neutral,0.8166289919690057,0.8361107315621031,0.18337100803099426,1.836110731562103,0.4447602085927816,0.45537053794722254,0.09986925345999596
2017,neutral,0.7612516469536181,0.9886000888795873,0.23874835304638187,1.9886000888795874,0.3828078109875379,0.4971336843480592,0.12005850466440285
2018,neutral,0.5340525455831628,0.8675548300454586,0.46594745441683716,1.8675548300454585,0.2859635160324387,0.4645404868912691,0.24949599707629222
2018,neutral,0.6505935610860034,0.9444366531867233,0.3494064389139966,1.9444366531867232,0.334592314961637,0.485712224997864,0.17969546004049908
2018,neutral,0.6929149486478008,0.8872879627140383,0.3070850513521992,1.8872879627140384,0.36714850215615513,0.47013915218219404,0.16271234566165071
2019,neutral,0.5163900247205118,0.8808365942720483,0.48360997527948824,1.8808365942720484,0.2745533696511117,0.4683217016058558,0.25712492874303244
2019,neutral,0.7160513498538703,0.879952528002343,0.2839486501461297,1.879952528002343,0.38088799540845525,0.4680716746275448,0.1510403299639999
2019,neutral,0.6510508356353354,0.8730269631610753,0.3489491643646646,1.8730269631610752,0.3475928795688921,0.4661048561135942,0.18630226431751368
2019,neutral,0.6011006747219405,0.8642857128835111,0.3988993252780595,1.864285712883511,0.3224294809362732,0.4636015321636032,0.21396898690012356
2019,neutral,0.7550208769495794,0.9647605295805809,0.24497912305042058,1.964760529580581,0.38428137454021144,0.491032120737141,0.12468650472264753
2020,neutral,0.6993130879888135,0.9283450397973049,0.30068691201118647,1.9283450397973048,0.3626493566018252,0.48142060712064605,0.1559300362775288
2020,neutral,0.8156131786594758,0.896288392407798,0.1843868213405242,1.896288392407798,0.43011030491193225,0.47265405198717825,0.09723564310088953
2020,neutral,0.6091507344400136,0.95912904544473,0.39084926555998645,1.9591290454447299,0.31092935703055435,0.48956910096088335,0.19950154200856235
