sentiment,raw_positiveScore,raw_neutralScore,raw_negativeScore,Sum,pos,neutral,neg
neutral,0.48817408823022274,0.6697382162664386,0.5118259117697772,1.6697382162664385,0.29236564359279493,0.40110372377053455,0.3065306326366705
neutral,0.4389350539201593,0.8423332245463534,0.5610649460798407,1.8423332245463535,0.23824954577814791,0.45721002765597146,0.30454042656588054
pos,0.7158532606346846,0.30348540964031767,0.2841467393653154,1.3034854096403177,0.549183945858064,0.23282608872780639,0.21798996541412963
neutral,0.4712453778612128,0.8378606180072435,0.5287546221387872,1.8378606180072437,0.2564097479667283,0.4558890972459704,0.2877011547873013
neutral,0.7932073122480616,0.7722373310743776,0.20679268775193838,1.7722373310743778,0.4475739780107206,0.4357414876292142,0.11668453436006514
neutral,0.5981939112699157,0.813908677794239,0.4018060887300843,1.813908677794239,0.3297817131551161,0.4487043299136611,0.22151395693122275
neg,0.49416650551748653,0.12100355226322124,0.5058334944825135,1.1210035522632213,0.44082510222184557,0.10794216665854825,0.4512327311196061
neutral,0.7900280098623199,0.7999571096557151,0.2099719901376801,1.7999571096557152,0.43891490837436214,0.4444312063684262,0.11665388525721163
pos,0.501875144525781,0.2556503607177227,0.49812485547421903,1.2556503607177227,0.3996933861739282,0.2035999580102811,0.3967066558157907
neg,0.4004891110513741,0.2557839456161395,0.5995108889486259,1.2557839456161395,0.3189156163760937,0.2036846756235933,0.477399708000313
neutral,0.768462457385813,0.7865955195246946,0.23153754261418702,1.7865955195246948,0.4301267125030373,0.44027621861156363,0.12959706888539896
neutral,0.6283058377213869,0.8158343920676036,0.37169416227861307,1.8158343920676034,0.346014945231853,0.4492889856209035,0.20469606914724353
neutral,0.5185514976914843,0.8697974973591779,0.48144850230851566,1.869797497359178,0.27733029829372663,0.465182726251181,0.2574869754550923
neutral,0.4985232443251765,0.8244664442517963,0.5014767556748235,1.8244664442517964,0.2732433067737884,0.4518945507873703,0.2748621424388413
neutral,0.7549735057951944,0.81241170492722,0.2450264942048056,1.8124117049272201,0.41655739904058464,0.44824898378144357,0.1351936171779717
