sentiment,raw_positiveScore,raw_neutralScore,raw_negativeScore,Sum,pos,neutral,neg
neutral,0.42135091053279294,0.84188959153078,0.5786490894672071,1.84188959153078,0.22876013441316614,0.4570792925927184,0.31416057299411543
pos,0.7890837257352628,0.20802006216304383,0.21091627426473725,1.208020062163044,0.6532041564958395,0.17219917837338683,0.17459666513077357
neutral,0.484586499039652,0.8283580172413832,0.515413500960348,1.8283580172413831,0.26503917420440093,0.45306116714012357,0.28189965865547556
neutral,0.8387611720005208,0.8588413961679283,0.1612388279994792,1.8588413961679282,0.4512279389353275,0.46203048734467733,0.08674157371999523
pos,0.5464835843402919,0.19977893784467804,0.4535164156597081,1.1997789378446782,0.45548689604604387,0.16651312299544732,0.3779999809585087
neutral,0.5623049519310611,0.8185025263953906,0.4376950480689389,1.8185025263953905,0.3092131815981878,0.4500969971253295,0.24068982127648275
pos,0.8240106277148649,0.17136039844282422,0.17598937228513511,1.1713603984428242,0.70346464573182,0.14629178062586565,0.15024357364231433
neutral,0.4452341399529174,0.8059366552580457,0.5547658600470826,1.8059366552580456,0.24653917880043197,0.4462707221272318,0.30719009907233624
pos,0.6049964146729018,0.1887048861860702,0.39500358532709823,1.1887048861860703,0.5089542591298817,0.15874830530185258,0.33229743556826563
pos,0.6374032841774832,0.1318708478957942,0.36259671582251685,1.1318708478957942,0.5631413560676543,0.11650697439637116,0.3203516695359746
neutral,0.644150921234205,0.6385434035137051,0.35584907876579497,1.638543403513705,0.3931241124604224,0.389701854796405,0.21717403274317268
