sentiment,raw_positiveScore,raw_neutralScore,raw_negativeScore,Sum,pos,neutral,neg
pos,0.6830553798378246,0.2380310351340297,0.3169446201621754,1.2380310351340298,0.5517271865190978,0.19226580625118203,0.2560070072297201
neutral,0.6879232164756182,0.6967245872655446,0.31207678352438184,1.6967245872655445,0.40544188587747226,0.4106291571977464,0.1839289569247814
pos,0.8710118811919786,0.3314593235610977,0.1289881188080214,1.3314593235610976,0.654178363378301,0.24894438582966427,0.09687725079203476
neutral,0.8013163045279148,0.8630966881359011,0.1986836954720852,1.8630966881359012,0.43009915139168764,0.46325920368602125,0.10664164492229104
neutral,0.865667360717885,0.9525805345138202,0.13433263928211503,1.95258053451382,0.443345278423269,0.48785723184063523,0.06879748973609583
neutral,0.6605863976120957,0.7515991922192325,0.3394136023879043,1.7515991922192327,0.37713330797735134,0.4290931370360905,0.19377355498655813
neutral,0.6505989133498085,0.7082112288069643,0.34940108665019154,1.7082112288069642,0.3808656109843013,0.41459230384616297,0.20454208516953584
neutral,0.7100789096699965,0.8695304392242561,0.28992109033000346,1.8695304392242562,0.3798167148134999,0.4651063288303877,0.15507695635611232
pos,0.8738674962119986,0.2034806264367788,0.12613250378800145,1.2034806264367788,0.7261167957471101,0.169076777778498,0.10480642647439198
neutral,0.43657033370035636,0.6264244035813006,0.5634296662996436,1.6264244035813005,0.2684233787559087,0.3851543313061137,0.34642228993797763
pos,0.7427517509271561,0.1683595491069533,0.25724824907284394,1.1683595491069534,0.6357218987039438,0.14409909110225574,0.2201790101938004
