sentiment,raw_positiveScore,raw_neutralScore,raw_negativeScore,Sum,pos,neutral,neg
pos,0.6533035864912172,0.31689463320186817,0.3466964135087828,1.3168946332018683,0.49609404581047567,0.2406378044319139,0.2632681497576103
neg,0.21474316921388098,0.14175007081720623,0.785256830786119,1.1417500708172061,0.18808246629683048,0.12415157611135404,0.6877659575918155
neutral,0.7104186373372596,0.5415723900404412,0.28958136266274037,1.5415723900404412,0.4608402705750475,0.3513116824998622,0.18784804692509027
neutral,0.3871383920544265,0.5294426180843701,0.6128616079455735,1.52944261808437,0.25312384229185275,0.3461670361634737,0.40070912154467353
neutral,0.3064159230975251,0.7354321491946673,0.6935840769024749,1.7354321491946672,0.17656462296132888,0.4237746486003195,0.3996607284383517
pos,0.5505442797414349,0.2662082735109161,0.44945572025856506,1.266208273510916,0.43479756945111186,0.2102405102541143,0.35496192029477397
pos,0.6226697613217796,0.19324702800180957,0.37733023867822035,1.1932470280018097,0.5218280429028106,0.1619505630157886,0.3162213940814006
pos,0.7101590318922618,0.23275471122161107,0.2898409681077382,1.232754711221611,0.5760748877516131,0.18880861626637824,0.23511649598200868
neg,0.4624555989549446,0.2090991657604129,0.5375444010450554,1.2090991657604129,0.3824794624385522,0.17293797868838048,0.44458255887306736
neg,0.38245819340883813,0.2929130138322713,0.6175418065911619,1.2929130138322713,0.2958112334836891,0.2265527616309311,0.47763600488537983
pos,0.6838711484127414,0.20091362374589541,0.31612885158725856,1.2009136237458953,0.5694590642411129,0.1673006449199941,0.26324029083889317
pos,0.6556165316851151,0.23298134516395694,0.34438346831488487,1.232981345163957,0.5317327259301995,0.18895772111862405,0.2793095529511763
neutral,0.8604962577661447,0.8572171586446492,0.1395037422338553,1.8572171586446493,0.4633256018343667,0.46156000371557243,0.07511439445006078
neutral,0.2572866655449373,0.8224992941530288,0.7427133344550627,1.822499294153029,0.1411724363188334,0.45130294249867975,0.40752462118248683
